country,variable,2011,2012,2013,2014,2015
ABW,Housing,8.62708719851577,9.09090909090909,6.9187476144713,11.5119701726845,8.11563089128594
ABW,Income,9.64749536178108,9.09090909090909,9.15381463078831,8.86773940345369,10.1094323072089
ABW,Jobs,9.64749536178108,9.09090909090909,8.8903466173203,8.70061486132915,7.6778062716565
ABW,Community,9.64749536178108,9.09090909090909,7.0560582205319,8.23227367870225,10.1127941125864
ABW,Education,9.64749536178108,9.09090909090909,9.29849055671424,10.0951726844584,9.05932802736423
ABW,Environment,9.64749536178108,9.09090909090909,9.70088324200166,9.07476452119309,10.6294642119194
ABW,CivicEngagement,8.62708719851577,9.09090909090909,9.80227034174403,3.87329931972789,7.139691279448
ABW,Health,8.62708719851577,9.09090909090909,10.8751951021688,9.58496860282574,11.9159841962572
ABW,LifeSatisfaction,8.62708719851577,9.09090909090909,9.95255864992707,9.93557038199895,10.0088885152598
ABW,Safety,8.62708719851577,9.09090909090909,10.3073694093431,12.0179225536368,7.9782999364324
ABW,WorkLifeBalance,8.62708719851577,9.09090909090909,8.0442656149893,8.10570381998953,7.25268025058129
AFG,Housing,11.1044197737746,7.60589104894271,8.52089284819635,11.3716012139286,11.0389925414904
AFG,Income,10.2115626309175,9.1316566815924,9.11966319845707,10.6731359173453,9.51681761439344
AFG,Jobs,12.9660661918726,7.51485260709781,7.9349585551292,8.64534900260036,9.3989565327077
AFG,Community,11.342689568496,8.63230974874851,7.53540447367062,7.90238981686786,7.54458336584495
AFG,Education,10.36866359447,8.34785164506997,8.38597689461574,8.11074970493721,7.76747210560049
AFG,Environment,6.32593213238374,8.69419558886015,13.1956445824296,8.54562090195252,8.3940391397521
AFG,CivicEngagement,8.26874738165061,5.46308948275405,6.29969447732469,6.87002839589748,6.80815850766816
AFG,Health,8.26874738165061,9.8276384884613,10.1189762072911,11.4643148047216,9.23097589683086
AFG,LifeSatisfaction,8.09593632174277,12.8247276185857,10.382940664455,10.1533559513888,9.01873198681176
AFG,Safety,6.32593213238374,7.84421895057706,8.41751564500438,8.62817164039631,9.13683770048291
AFG,WorkLifeBalance,6.72130289065773,14.1135681393103,10.0883324534263,7.63528264996391,12.1444346084173
AGO,Housing,9.66743782533256,10.7215289899514,8.26060323119147,11.0413674045253,9.48726540057809
AGO,Income,11.3591671486408,7.73372411190263,9.47713479331126,16.1087473929579,9.22163995848206
AGO,Jobs,9.66743782533256,7.80819219700901,8.75491257108904,8.34611003032056,10.698260803524
AGO,Community,9.66743782533256,12.8848657828938,8.45005729564553,9.844664107822,6.3436279349592
AGO,Education,13.0075187969925,9.14706090484503,10.6629424497072,7.25148243569296,8.67461881084172
AGO,Environment,7.03007518796993,7.18364627069868,7.05323189882013,8.20386338807391,9.97869599727185
AGO,CivicEngagement,8.95315211104685,7.30819219700901,9.55106739665563,6.35540891856681,8.56070657928243
AGO,Health,8.95315211104685,9.64706090484503,9.93484565543389,7.74354592775645,11.9792440102038
AGO,LifeSatisfaction,5.38172353961828,9.20933386800019,11.0728538890304,9.69592688013741,7.1716784534122
AGO,Safety,11.6454598033545,8.72152898995141,8.50561285120109,7.63648339964129,7.69641572737548
AGO,WorkLifeBalance,4.66743782533256,9.63486578289381,8.27673796791444,7.77240011450538,10.1878463240692
AIA,Housing,NA,9.92935894896679,8.77113448143441,9.23603169932955,9.58449619163905
AIA,Income,NA,10.1472238727141,8.6844760418348,10.6452457914705,5.37058840630269
AIA,Jobs,NA,7.46022314649766,15.1671544887076,8.8295276342889,8.14836618408047
AIA,Community,NA,8.69479104773222,5.12272369427682,9.66144293018605,8.65857026571312
AIA,Education,NA,11.1639268502014,7.83019796696849,7.9856563364788,5.88079248793535
AIA,Environment,NA,14.0687925001651,7.77327007883855,8.19085469489193,5.88079248793535
AIA,CivicEngagement,NA,11.1639268502014,6.73273686950739,7.21046253802919,8.14836618408047
AIA,Health,NA,6.22565524526309,7.82952140107453,9.45624457177292,30.8807924879353
AIA,LifeSatisfaction,NA,6.22565524526309,16.5317611902708,13.660150940522,7.21626257340543
AIA,Safety,NA,6.22565524526309,8.85327242482555,7.59805943725399,4.86038432467004
AIA,WorkLifeBalance,NA,8.69479104773222,6.70375136226101,7.52632342577623,5.37058840630269
ALB,Housing,11.9648206504824,8.17307499884623,8.03981476311364,9.72243360903111,10.2152111345014
ALB,Income,8.84857415188297,14.959211045456,11.528327696071,9.66387347050446,15.2154095162348
ALB,Jobs,10.5837126517274,9.10925143535438,10.487189895674,10.4444087957722,7.76472477995583
ALB,Community,6.88924875505758,7.75664138530951,7.77856572408683,8.8261808259388,6.88195427059737
ALB,Education,5.69877256458139,7.72808417144685,9.81960940143541,9.83189826072707,8.15891603743785
ALB,Environment,7.90246654217242,6.94444573255119,8.04536956496474,8.37032601267282,7.12679464172604
ALB,CivicEngagement,5.05539021164021,5.63086058923389,7.50052985345836,7.6462096025159,6.47980710771478
ALB,Health,10.7035869903517,11.0588743937178,9.04120911635985,9.54063027937927,8.33478826330764
ALB,LifeSatisfaction,13.6719965764083,8.50632295542452,8.42752726193725,9.29898724899125,12.5698503575772
ALB,Safety,8.37783029878618,8.91736905400365,9.87434648653426,7.69412169389945,7.59759338941782
ALB,WorkLifeBalance,10.3036006069094,11.215864238656,9.45751023636467,8.96093020056762,9.65495050152932
AND,Housing,5.69908814589666,5.75099076058155,9.22096957914286,8.29453239522649,9.11613348092477
AND,Income,8.90830800405268,6.41540517499597,7.88127855374755,9.48338972163833,9.90906408329276
AND,Jobs,9.61752786220871,6.29153130112209,7.14460047325318,10.7045226192418,9.77366812212547
AND,Community,5.11398176291793,4.79378355337435,7.84034961850622,8.6722599560993,6.60350288299472
AND,Education,11.5222897669706,5.75099076058155,8.47696481433846,8.22262364996394,8.9851754552299
AND,Environment,10.8080040526849,9.28040252528744,16.6343527190069,9.10998379132305,12.1553406943607
AND,CivicEngagement,9.73657548125633,4.37711688670768,6.84395178784555,8.90856422228971,7.06580729266755
AND,Health,11.5222897669706,9.22925163014677,9.08094569677711,8.86437539264697,8.46375696647929
AND,LifeSatisfaction,9.02228976697062,33.8397444759337,8.40046542633356,10.8078372359515,7.31433167912297
AND,Safety,9.14640324214792,9.22925163014677,9.01857921591456,8.25002732698561,10.2655587682811
AND,WorkLifeBalance,8.903242147923,5.04153130112209,9.457542115134,8.68188368863325,10.3476605745208
ANT,Housing,NA,7.19907407407407,5.88035995012739,9.4442745991982,6.98447893569845
ANT,Income,NA,7.19907407407407,13.6322979346235,8.4124399935096,8.2039911308204
ANT,Jobs,NA,7.19907407407407,7.86306716539275,5.95172866183053,8.2039911308204
ANT,Community,NA,6.15740740740741,8.44446251422996,11.0277929484211,9.42350332594235
ANT,Education,NA,6.15740740740741,9.0854881552556,9.48329118532854,9.42350332594235
ANT,Environment,NA,17.2453703703704,9.0854881552556,9.52003217495577,9.42350332594235
ANT,CivicEngagement,NA,7.89351851851852,7.86306716539275,7.22062105975519,8.2039911308204
ANT,Health,NA,11.0185185185185,10.3079091451184,12.3606691836743,10.6430155210643
ANT,LifeSatisfaction,NA,9.97685185185185,9.66688350409281,10.3486758007132,10.6430155210643
ANT,Safety,NA,8.93518518518519,10.3079091451184,8.72129780236741,8.2039911308204
