country,variable,f,m
ABW,Housing,8.91484663607972,7.43061132687188
ABW,Income,10.0663564952353,8.54840340766194
ABW,Jobs,7.90123782713239,9.36513704899159
ABW,Community,9.35875210672316,7.14810813106409
ABW,Education,8.43759535090913,10.6820497575924
ABW,Environment,9.70310313558999,10.0755428059314
ABW,CivicEngagement,8.38853464090452,6.96393984046356
ABW,Health,10.7610381423347,10.855747285384
ABW,LifeSatisfaction,9.3663009141611,10.5739410395212
ABW,Safety,9.83483785130222,9.67260115133925
ABW,WorkLifeBalance,7.26739689962779,8.68391820517876
AFG,Housing,9.19992518398209,10.4320397478765
AFG,Income,9.11579485851676,10.1078993037142
AFG,Jobs,8.06915004849901,8.97232495045404
AFG,Community,8.24563833003866,7.58070944518205
AFG,Education,7.50640411732993,8.72946800147337
AFG,Environment,10.2505124644656,9.45930257462261
AFG,CivicEngagement,6.03784353220505,6.88254524775901
AFG,Health,10.550929705348,9.80596029147465
AFG,LifeSatisfaction,9.95273689663699,10.5379634108284
AFG,Safety,9.11587160268576,8.06766786557976
AFG,WorkLifeBalance,11.9551932602922,9.42411916103541
AGO,Housing,8.82188274831464,10.3840960509196
AGO,Income,13.9289364788978,9.72534114273204
AGO,Jobs,9.12436824011901,8.85796549060195
AGO,Community,8.29507056411081,9.59664790715103
AGO,Education,9.43522794285178,9.13745583691917
AGO,Environment,8.30168452548484,7.73819767409049
AGO,CivicEngagement,7.37268019648051,8.59083819433932
AGO,Health,9.64716922654229,9.4319142241877
AGO,LifeSatisfaction,9.74887804404058,8.88117215128174
AGO,Safety,7.31156316593623,9.11990736262377
AGO,WorkLifeBalance,8.01253886722153,8.53646396515318
AIA,Housing,7.71254209717006,9.89527464549075
AIA,Income,6.76005340938726,9.82776932357878
AIA,Jobs,5.53946517409314,14.4046423727867
AIA,Community,5.49876749967454,8.19044577667589
AIA,Education,5.83016284851175,9.0262352106111
AIA,Environment,10.613857013741,7.21686189868024
AIA,CivicEngagement,5.24876749967454,8.83862413014288
AIA,Health,18.5801628485117,8.52631473386838
AIA,LifeSatisfaction,20.4633782175714,9.22782931405943
AIA,Safety,5.78946517409314,8.42357093364558
AIA,WorkLifeBalance,7.9633782175714,6.4224316604603
ALB,Housing,10.299222568097,8.79811541319695
ALB,Income,11.5601156903121,12.6697370029137
ALB,Jobs,9.43120722666032,9.63253463781566
ALB,Community,8.08013073990884,7.7365902257754
ALB,Education,8.54970600945127,9.15759036302734
ALB,Environment,7.97148818475773,7.62899681414011
ALB,CivicEngagement,7.26899075702004,6.74685806112168
ALB,Health,9.33086189943097,9.38734464906472
ALB,LifeSatisfaction,10.6959147907812,9.61859831160618
ALB,Safety,7.98236876379557,8.57185678010446
ALB,WorkLifeBalance,8.82999336978493,10.0517777412338
AND,Housing,8.82729620466353,7.97813161378158
AND,Income,7.76520189884124,9.130624966324
AND,Jobs,7.87061877524211,9.42408852787991
AND,Community,9.4444281246059,6.44912501100582
AND,Education,9.10570827383646,7.93788702931437
AND,Environment,10.1668296257145,13.1952037761754
AND,CivicEngagement,7.58878994375858,7.5592938772955
AND,Health,9.90234723077407,8.64547272720779
AND,LifeSatisfaction,11.2053511909788,12.2131976960369
AND,Safety,9.18076760055864,8.77108163283036
AND,WorkLifeBalance,8.94266113102616,8.69589314214846
ANT,Housing,5.32465687560101,9.31170291507909
ANT,Income,11.9346348860511,7.9334696519009
ANT,Jobs,7.5508466312951,6.65141836984962
ANT,Community,7.95735069633575,9.94663693817101
ANT,Education,9.44928618020671,8.20724572509558
ANT,Environment,12.6974940655114,9.76225544896496
ANT,CivicEngagement,7.01321222269295,8.08725105568231
ANT,Health,10.8100913205162,11.6529655952341
ANT,LifeSatisfaction,9.4391235785807,10.5934926607611
ANT,Safety,8.92181437323058,9.2491194413879
ANT,WorkLifeBalance,8.90148916997855,8.60444219787345
ARE,Housing,11.1596185985762,8.40241065681249
ARE,Income,10.2823613917106,10.777544248391
ARE,Jobs,9.41096203153738,9.11572463148718
ARE,Community,8.05834570800494,7.77971329064185
ARE,Education,10.0412351042465,8.80655529073948
ARE,Environment,6.5059904396006,8.97964827367091
ARE,CivicEngagement,5.74061381169561,6.1793983771855
ARE,Health,9.08938301278127,9.92618931762191
ARE,LifeSatisfaction,10.0689728048389,10.1641848302488
ARE,Safety,10.3305406447517,11.4136747013228
ARE,WorkLifeBalance,9.31197645225623,8.45495638187812
ARG,Housing,9.29578254590318,9.09383138342548
ARG,Income,8.72298696496142,8.59946328501306
ARG,Jobs,9.20637071492796,9.44668420667885
ARG,Community,7.88955197319302,7.67667665139596
ARG,Education,10.660235358387,10.4125588411483
ARG,Environment,9.06191633319181,8.77426107947191
ARG,CivicEngagement,7.50724889600841,6.97079132790717
ARG,Health,10.3147559175767,10.5285675899863
ARG,LifeSatisfaction,8.91235556003192,9.55649172771313
ARG,Safety,9.6417918466031,9.60714577891751
ARG,WorkLifeBalance,8.78700388921554,9.33352812834229
ARM,Housing,9.08577646695305,8.72561996139406
ARM,Income,7.4600701945032,8.20264744052601
ARM,Jobs,8.35997473438794,8.19120946481388
ARM,Community,8.55449187146679,8.62026621515478
ARM,Education,9.9112653337901,10.3566007811323
ARM,Environment,9.58623857152573,9.02216972319349
